Name,Severity,Activation Period,Training Period,Test Period,Deduplication Period,Detection Modules,ATT&CK Tactic,ATT&CK Technique,XDR Agent,XDR Agent (with XTH),Windows Event Collector,PAN Platform Logs,Azure Audit Logs,GCP Audit Logs,Azure AD,Azure AD Audit Logs,AWS Audit Logs,Okta,Ping,OneLogin,Google Workspace Audit Logs,Office 365 Audit Logs,Box Audit Logs,DropBox Audit Logs,PAN Global Protect/3rd Party VPN
GCP Storage Bucket Permissions Modification,Informational,14 Days,30 Days,N/A (single event),3 Hours,Cloud,Defense Evasion (TA0005),File and Directory Permissions Modification (T1222),,,,,,X,,,,,,,,,,,
GCP set IAM policy activity,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Persistence (TA0003),Account Manipulation (T1098),,,,,,X,,,,,,,,,,,
A cloud identity executed an API call from an unusual country,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Initial Access (TA0001),Valid Accounts (T1078),,,,,X,X,,,X,,,,,,,,
Unusual cross projects activity,Low,14 Days,30 Days,N/A (single event),5 Days,Cloud,Initial Access (TA0001),Trusted Relationship (T1199),,,,,X,X,,,X,,,,,,,,
Unusual resource modification by newly seen IAM user,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Initial Access (TA0001)Impact (TA0040),Valid Accounts: Cloud Accounts (T1078.004)Data Destruction (T1485),,,,,X,X,,,X,,,,,,,,
Suspicious heavy allocation of compute resources - possible mining activity,Medium,14 Days,30 Days,N/A (single event),5 Days,Cloud,Impact (TA0040)Initial Access (TA0001),Resource Hijacking (T1496)Valid Accounts (T1078),,,,,X,X,,,X,,,,,,,,
A Kubernetes dashboard service account was used outside the cluster,Medium,14 Days,30 Days,N/A (single event),5 Days,Cloud,Initial Access (TA0001),External Remote Services (T1133),,,,,X,X,,,X,,,,,,,,
Activity in a dormant region of a cloud project,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Defense Evasion (TA0005),Unused/Unsupported Cloud Regions (T1535),,,,,X,X,,,X,,,,,,,,
Billing admin role was removed,Low,14 Days,30 Days,N/A (single event),5 Days,Cloud,Defense Evasion (TA0005),Modify Cloud Compute Infrastructure (T1578),,,,,X,X,,,X,,,,,,,,
GCP Logging Sink Deletion,Low,14 Days,30 Days,N/A (single event),3 Hours,Cloud,Defense Evasion (TA0005),Impair Defenses (T1562)Impair Defenses: Disable or Modify Cloud Logs (T1562.008),,,,,,X,,,,,,,,,,,
GCP Logging Sink Modification,Informational,14 Days,30 Days,N/A (single event),3 Hours,Cloud,Defense Evasion (TA0005),Impair Defenses (T1562)Impair Defenses: Disable or Modify Cloud Logs (T1562.008),,,,,,X,,,,,,,,,,,
Abnormal Allocation of compute resources in multiple regions,Informational,14 Days,30 Days,30 Minutes,5 Days,Cloud,Impact (TA0040)Initial Access (TA0001),Resource Hijacking (T1496)Valid Accounts (T1078),,,,,X,X,,,X,,,,,,,,
An identity dumped multiple secrets from a project,Low,14 Days,30 Days,1 Hour,6 Days,Cloud,Credential Access (TA0006)Collection (TA0009),Unsecured Credentials (T1552)Data from Cloud Storage (T1530),,,,,X,X,,,X,,,,,,,,
Storage enumeration activity,Informational,14 Days,30 Days,10 Minutes,5 Days,Cloud,Discovery (TA0007)Collection (TA0009),Cloud Storage Object Discovery (T1619)Data from Cloud Storage (T1530)Cloud Service Discovery (T1526),,,,,X,X,,,X,,,,,,,,
Suspicious identity downloaded multiple objects from a bucket,Low,14 Days,30 Days,1 Hour,5 Days,Cloud,Collection (TA0009)Exfiltration (TA0010),Data from Cloud Storage (T1530)Automated Exfiltration (T1020),,,,,X,X,,,X,,,,,,,,
Cloud user performed multiple actions that were denied,Informational,14 Days,30 Days,10 Minutes,5 Days,Cloud,Discovery (TA0007),Account Discovery (T1087)Permission Groups Discovery (T1069),,,,,X,X,,,X,,,,,,,,
Kubernetes enumeration activity,Informational,14 Days,30 Days,10 Minutes,7 Days,Cloud,Discovery (TA0007),Container and Resource Discovery (T1613)Cloud Service Discovery (T1526),,,,,X,X,,,X,,,,,,,,
Allocation of multiple cloud compute resources,Informational,14 Days,30 Days,1 Hour,5 Days,Cloud,Impact (TA0040)Initial Access (TA0001),Resource Hijacking (T1496)Valid Accounts (T1078),,,,,X,X,,,X,,,,,,,,
IAM Enumeration sequence,Informational,14 Days,30 Days,10 Minutes,7 Days,Cloud,Discovery (TA0007),Account Discovery (T1087)Permission Groups Discovery (T1069)Cloud Service Discovery (T1526),,,,,,X,,,X,,,,,,,,
Impossible travel by a cloud identity,Informational,14 Days,30 Days,1 Hour,5 Days,Cloud,Initial Access (TA0001),Valid Accounts: Cloud Accounts (T1078.004),,,,,X,X,,,X,,,,,,,,
Multiple cloud snapshots export,Informational,14 Days,30 Days,2 Hours,5 Days,Cloud,Exfiltration (TA0010),Transfer Data to Cloud Account (T1537),,,,,X,X,,,X,,,,,,,,
Multiple failed logins from a single IP,Informational,14 Days,30 Days,1 Hour,5 Days,Cloud,Initial Access (TA0001),Trusted Relationship (T1199),,,,,X,X,,,X,,,,,,,,
An identity performed a suspicious download of multiple cloud storage objects,Informational,14 Days,30 Days,1 Hour,5 Days,Cloud,Collection (TA0009)Exfiltration (TA0010),Data from Cloud Storage (T1530)Automated Exfiltration (T1020),,,,,X,X,,,X,,,,,,,,
Cloud infrastructure enumeration activity,Informational,14 Days,30 Days,10 Minutes,5 Days,Cloud,Discovery (TA0007),Cloud Infrastructure Discovery (T1580)Cloud Service Discovery (T1526),,,,,,X,,,X,,,,,,,,
Deletion of multiple cloud resources,Informational,14 Days,30 Days,30 Minutes,5 Days,Cloud,Impact (TA0040)Initial Access (TA0001),Data Destruction (T1485)Valid Accounts: Cloud Accounts (T1078.004),,,,,X,X,,,X,,,,,,,,
Multi region enumeration activity,Informational,14 Days,30 Days,30 Minutes,5 Days,Cloud,Discovery (TA0007)Defense Evasion (TA0005),Cloud Infrastructure Discovery (T1580)Unused/Unsupported Cloud Regions (T1535)Cloud Service Discovery (T1526),,,,,X,X,,,X,,,,,,,,
Possible DCShadow attempt,High,14 Days,30 Days,N/A (single event),1 Day,,Credential Access (TA0006)Defense Evasion (TA0005),OS Credential Dumping (T1003)Rogue Domain Controller (T1207),X,,,X,,X,,,,,,,,,,,
An internal Cloud resource performed port scan on external networks,Medium,14 Days,30 Days,1 Hour,5 Days,Cloud,Discovery (TA0007)Impact (TA0040),Network Service Discovery (T1046)Resource Hijacking (T1496)Cloud Service Discovery (T1526),,,,,,X,,,,,,,,,,,
Upload pattern that resembles Peer to Peer traffic,Informational,14 Days,30 Days,30 Minutes,1 Day,,Command and Control (TA0011)Initial Access (TA0001),Application Layer Protocol (T1071)Non-Standard Port (T1571)Trusted Relationship (T1199)Phishing (T1566),X,,,X,,X,,,,,,,,,,,
Gmail routing settings changed,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Collection (TA0009),Data Staged (T1074)Email Collection (T1114),,,,,,,,,,,,,X,,,,
Data Sharing between GCP and Google Workspace was disabled,Informational,14 Days,30 Days,N/A (single event),2 Days,Identity Threat Module,Defense Evasion (TA0005)Impact (TA0040),Indicator Removal (T1070)Impair Defenses (T1562)Data Manipulation (T1565)Impair Defenses: Disable or Modify Cloud Logs (T1562.008),,,,,,,,,,,,,X,,,,
External Sharing was turned on for Google Drive,Informational,14 Days,30 Days,N/A (single event),5 Days,Identity Threat Module,Exfiltration (TA0010),Transfer Data to Cloud Account (T1537),,,,,,,,,,,,,X,,,,
A Google Workspace service was configured as unrestricted,Informational,14 Days,30 Days,N/A (single event),2 Days,Identity Threat Module,Privilege Escalation (TA0004),Domain or Tenant Policy Modification (T1484),,,,,,,,,,,,,X,,,,
A GCP service account was delegated domain-wide authority in Google Workspace,Low,14 Days,30 Days,N/A (single event),2 Days,Identity Threat Module,Privilege Escalation (TA0004),Domain or Tenant Policy Modification (T1484),,,,,,,,,,,,,X,,,,
User accessed SaaS resource via anonymous link,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Collection (TA0009),Data from Cloud Storage (T1530),,,,,,,,,,,,,X,X,,,
A Google Workspace user was added to a group,Informational,14 Days,30 Days,N/A (single event),5 Days,Identity Threat Module,Persistence (TA0003),Account Manipulation (T1098),,,,,,,,,,,,,X,,,,
Admin privileges were granted to a Google Workspace user,Informational,14 Days,30 Days,N/A (single event),5 Days,Identity Threat Module,Privilege Escalation (TA0004),Valid Accounts (T1078),,,,,,,,,,,,,X,,,,
MFA Disabled for Google Workspace,Low,14 Days,30 Days,N/A (single event),5 Days,Identity Threat Module,Credential Access (TA0006),Modify Authentication Process (T1556)Modify Authentication Process: Multi-Factor Authentication (T1556.006),,,,,,,,,,,,,X,,,,
A third-party application's access to the Google Workspace domain's resources was revoked,Informational,14 Days,30 Days,N/A (single event),5 Days,Identity Threat Module,Impact (TA0040),Account Access Removal (T1531),,,,,,,,,,,,,X,,,,
A Google Workspace identity used the security investigation tool,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Collection (TA0009),Data from Information Repositories (T1213)Email Collection (T1114),,,,,,,,,,,,,X,,,,
Suspicious SaaS API call from a Tor exit node,High,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Command and Control (TA0011),Proxy: Multi-hop Proxy (T1090.003),,,,,,,,,,,,,X,X,X,X,
SaaS suspicious external domain user activity,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Initial Access (TA0001),External Remote Services (T1133),,,,,,,,,,,,,X,X,,,
"A Google Workspace identity created, assigned or modified a role",Informational,14 Days,30 Days,N/A (single event),2 Days,Identity Threat Module,Persistence (TA0003),Valid Accounts (T1078),,,,,,,,,,,,,X,,,,
A Google Workspace Role privilege was deleted,Informational,14 Days,30 Days,N/A (single event),5 Days,Identity Threat Module,Impact (TA0040),Account Access Removal (T1531),,,,,,,,,,,,,X,,,,
An app was added to Google Marketplace,Informational,14 Days,30 Days,N/A (single event),5 Days,Identity Threat Module,Command and Control (TA0011),Remote Access Software (T1219),,,,,,,,,,,,,X,,,,
Google Workspace organizational unit was modified,Informational,14 Days,30 Days,N/A (single event),5 Days,Identity Threat Module,Persistence (TA0003),Account Manipulation (T1098),,,,,,,,,,,,,X,,,,
A domain was added to the trusted domains list,Low,14 Days,30 Days,N/A (single event),5 Days,Identity Threat Module,Defense Evasion (TA0005),Impair Defenses (T1562)Domain or Tenant Policy Modification: Trust Modification (T1484.002),,,,,,,,,,,,,X,,,,
An app was removed from a blocked list in Google Workspace,Informational,14 Days,30 Days,N/A (single event),2 Days,Identity Threat Module,Defense Evasion (TA0005),Modify Authentication Process (T1556),,,,,,,,,,,,,X,,,,
A Google Workspace user was removed from a group,Informational,14 Days,30 Days,N/A (single event),5 Days,Identity Threat Module,Impact (TA0040),Account Access Removal (T1531),,,,,,,,,,,,,X,,,,
An app was added to the Google Workspace trusted OAuth apps list,Informational,14 Days,30 Days,N/A (single event),2 Days,Identity Threat Module,Defense Evasion (TA0005),Modify Authentication Process (T1556),,,,,,,,,,,,,X,,,,
Google Workspace third-party application's security settings were changed,Informational,14 Days,30 Days,N/A (single event),2 Days,Identity Threat Module,Privilege Escalation (TA0004),Domain or Tenant Policy Modification (T1484),,,,,,,,,,,,,X,,,,
A mail forwarding rule was configured in Google Workspace,Medium,14 Days,30 Days,N/A (single event),2 Days,Identity Threat Module,Collection (TA0009)Exfiltration (TA0010),Email Collection: Email Forwarding Rule (T1114.003)Automated Exfiltration (T1020)Email Collection (T1114),,,,,,,,,,,,,X,,,,
Google Marketplace restrictions were modified,Informational,14 Days,30 Days,N/A (single event),2 Days,Identity Threat Module,Privilege Escalation (TA0004),Domain or Tenant Policy Modification (T1484),,,,,,,,,,,,,X,,,,
A Google Workspace identity performed an unusual admin console activity,Informational,14 Days,30 Days,N/A (single event),2 Days,Identity Threat Module,Persistence (TA0003),Valid Accounts (T1078),,,,,,,,,,,,,X,,,,
Gmail delegation was turned on for the organization,Informational,14 Days,30 Days,N/A (single event),5 Days,Identity Threat Module,Privilege Escalation (TA0004),Domain or Tenant Policy Modification (T1484),,,,,,,,,,,,,X,,,,
A third-party application was authorized to access the Google Workspace APIs,Informational,14 Days,30 Days,N/A (single event),5 Days,Identity Threat Module,Initial Access (TA0001)Privilege Escalation (TA0004),Valid Accounts (T1078),,,,,,,,,,,,,X,,,,
Massive file downloads from SaaS service,Informational,14 Days,30 Days,1 Hour,1 Day,Identity Threat Module,Collection (TA0009),Data from Cloud Storage (T1530),,,,,,,,,,,,,X,X,X,X,
External SaaS file-sharing activity,Informational,14 Days,30 Days,10 Minutes,1 Day,Identity Threat Module,Collection (TA0009),Data from Cloud Storage (T1530),,,,,,,,,,,,,X,X,X,X,
Massive upload to SaaS service,Informational,14 Days,30 Days,3 Hours,1 Day,Identity Threat Module,Exfiltration (TA0010)Collection (TA0009),Exfiltration Over Web Service (T1567)Exfiltration Over Web Service: Exfiltration to Cloud Storage (T1567.002)Data Staged: Remote Data Staging (T1074.002),,,,,,,,,,,,,X,X,X,X,
Collection error,High,14 Days,30 Days,N/A (single event),1 Day,,Lateral Movement (TA0008)Execution (TA0002),Remote Services (T1021)System Services: Service Execution (T1569.002),,,,,,,,,,,,,,,,,
Error in event forwarding,Medium,14 Days,30 Days,N/A (single event),4 Hours,,Lateral Movement (TA0008)Execution (TA0002),Remote Services (T1021)System Services: Service Execution (T1569.002),,,,,,,,,,,,,,,,,
Correlation rule error,Medium,14 Days,30 Days,N/A (single event),12 Hours,,Lateral Movement (TA0008)Execution (TA0002),Remote Services (T1021)System Services: Service Execution (T1569.002),,,,,,,,,,,,,,,,,
Exchange user mailbox forwarding,Low,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Collection (TA0009)Exfiltration (TA0010),Email Collection: Email Forwarding Rule (T1114.003)Automated Exfiltration (T1020)Email Collection (T1114),,,,,,,,,,,,,,X,,,
Exchange inbox forwarding rule configured,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Collection (TA0009)Exfiltration (TA0010),Email Collection: Email Forwarding Rule (T1114.003)Automated Exfiltration (T1020)Email Collection (T1114),,,,,,,,,,,,,,X,,,
Exchange email-hiding transport rule,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Defense Evasion (TA0005),Hide Artifacts: Email Hiding Rules (T1564.008),,,,,,,,,,,,,,X,,,
User accessed SaaS resource via anonymous link,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Collection (TA0009),Data from Cloud Storage (T1530),,,,,,,,,,,,,X,X,,,
SharePoint Site Collection admin group addition,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Persistence (TA0003),Account Manipulation: Additional Cloud Roles (T1098.003),,,,,,,,,,,,,,X,,,
Exchange audit log disabled,Low,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Defense Evasion (TA0005),Impair Defenses (T1562)Impair Defenses: Disable or Modify Cloud Logs (T1562.008),,,,,,,,,,,,,,X,,,
Exchange Safe Link policy disabled or removed,Low,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Defense Evasion (TA0005)Initial Access (TA0001),Impair Defenses: Disable or Modify Tools (T1562.001)Phishing: Spearphishing Link (T1566.002),,,,,,,,,,,,,,X,,,
Exchange DKIM signing configuration disabled,Low,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Defense Evasion (TA0005)Initial Access (TA0001),Impair Defenses: Disable or Modify Tools (T1562.001)Phishing (T1566),,,,,,,,,,,,,,X,,,
Penetration testing tool activity attempt,Informational,14 Days,30 Days,N/A (single event),2 Days,Identity Analytics,Execution (TA0002),Serverless Execution (T1648),,,,,,,,,,,,,,X,,,
Suspicious SaaS API call from a Tor exit node,High,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Command and Control (TA0011),Proxy: Multi-hop Proxy (T1090.003),,,,,,,,,,,,,X,X,X,X,
Exchange email-hiding inbox rule,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Defense Evasion (TA0005),Hide Artifacts: Email Hiding Rules (T1564.008),,,,,,,,,,,,,,X,,,
SaaS suspicious external domain user activity,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Initial Access (TA0001),External Remote Services (T1133),,,,,,,,,,,,,X,X,,,
Exchange transport forwarding rule configured,Low,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Collection (TA0009)Exfiltration (TA0010),Email Collection: Email Forwarding Rule (T1114.003)Automated Exfiltration (T1020)Email Collection (T1114),,,,,,,,,,,,,,X,,,
Exchange anti-phish policy disabled or removed,Low,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Defense Evasion (TA0005)Initial Access (TA0001),Impair Defenses: Disable or Modify Tools (T1562.001)Phishing (T1566),,,,,,,,,,,,,,X,,,
Exchange mailbox folder permission modification,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Persistence (TA0003),Account Manipulation: Additional Email Delegate Permissions (T1098.002),,,,,,,,,,,,,,X,,,
Exchange Safe Attachment policy disabled or removed,Low,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Defense Evasion (TA0005)Initial Access (TA0001),Impair Defenses: Disable or Modify Tools (T1562.001)Phishing: Spearphishing Attachment (T1566.001),,,,,,,,,,,,,,X,,,
Exchange malware filter policy removed,Low,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Defense Evasion (TA0005),Impair Defenses (T1562)Impair Defenses: Disable or Modify Tools (T1562.001),,,,,,,,,,,,,,X,,,
Exchange compliance search created,Informational,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Collection (TA0009),Email Collection (T1114),,,,,,,,,,,,,,X,,,
Exchange mailbox audit bypass,Low,14 Days,30 Days,N/A (single event),1 Day,Identity Threat Module,Defense Evasion (TA0005),Impair Defenses (T1562)Impair Defenses: Disable or Modify Tools (T1562.001),,,,,,,,,,,,,,X,,,
